华数,udp://239.253.242.129:8000
华数,udp://239.253.242.130:8000
华数,udp://239.253.242.131:8000
华数,udp://239.253.242.132:8000
华数,udp://239.253.242.135:8000
华数,udp://239.253.242.136:8000
自然传奇,udp://239.253.242.137:8000
一线,udp://239.253.242.138:8000
家有购物,udp://239.253.242.150:8000
聚鲨环球精选,udp://239.253.242.156:8000
山东经济广播,udp://239.253.242.166:8000
九屏,udp://239.253.242.167:8000
优购物,udp://239.253.242.174:8000
华数,udp://239.253.242.201:8000
纯享版,udp://239.253.242.202:8000
华数,udp://239.253.242.203:8000
天下足球,udp://239.253.242.204:8000
华数,udp://239.253.242.205:8000
军武零距离,udp://239.253.242.207:8000
人与自然,udp://239.253.242.208:8000
华数,udp://239.253.242.209:8000
华数,udp://239.253.242.210:8000
影剧,udp://239.253.242.211:8000
影剧,udp://239.253.242.212:8000
生活圈,udp://239.253.242.213:8000
一锤定音,udp://239.253.242.214:8000
中国诗词大会,udp://239.253.242.215:8000
影剧,udp://239.253.242.216:8000
状元棒棒糖,udp://239.253.242.217:8000
影剧,udp://239.253.242.218:8000
典籍里的中国,udp://239.253.242.219:8000
影剧,udp://239.253.242.220:8000
影剧,udp://239.253.242.221:8000
诗画中国,udp://239.253.242.222:8000
影剧,udp://239.253.242.223:8000
梨园闯关,udp://239.253.242.224:8000
健康之路,udp://239.253.242.225:8000
科幻地带,udp://239.253.242.226:8000
兵器面面观,udp://239.253.242.227:8000
生活圈,udp://239.253.242.228:8000
动画,udp://239.253.242.229:8000
快乐购物,udp://239.253.242.231:8000
风尚购物,udp://239.253.242.232:8000
山东居家购物,udp://239.253.242.104:8000
北京卫视4K,udp://239.253.242.200:8000
广东卫视4K,udp://239.253.242.108:8000
深圳卫视4K,udp://239.253.242.61:8000
山东卫视4K,udp://239.253.242.172:8000
浙江卫视4K,udp://239.253.242.27:8000
湖南卫视4K,udp://239.253.242.123:8000
东方卫视4K,udp://239.253.242.176:8000
江苏卫视4K,udp://239.253.242.133:8000
四川卫视4K,udp://239.253.242.123:8000
